Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;;
26,36273148;26,17592593;26,51196283;24,62465278;25,37210648;24,25752315;1;;;;;;;;;
26,17592593;26,51196283;24,62465278;25,37210648;24,25752315;25,92030162;4;;;;;;;;;
26,51196283;24,62465278;25,37210648;24,25752315;25,92030162;26,68171296;5;;;;;;;;;
24,62465278;25,37210648;24,25752315;25,92030162;26,68171296;26,68696742;2;;;;;;;;;
25,37210648;24,25752315;25,92030162;26,68171296;26,68696742;26,92063694;3;;;;;;;;;
24,25752315;25,92030162;26,68171296;26,68696742;26,92063694;28,20579374;2;;;;;;;;;
25,92030162;26,68171296;26,68696742;26,92063694;28,20579374;29,40417149;4;;;;;;;;;
26,68171296;26,68696742;26,92063694;28,20579374;29,40417149;29,23704994;2;;;;;;;;;
26,68696742;26,92063694;28,20579374;29,40417149;29,23704994;24,10034843;2;;;;;;;;;
26,92063694;28,20579374;29,40417149;29,23704994;24,10034843;22,484375;4;;;;;;;;;
28,20579374;29,40417149;29,23704994;24,10034843;22,484375;22,31319444;4;;;;;;;;;
29,40417149;29,23704994;24,10034843;22,484375;22,31319444;22,325;6;;;;;;;;;
29,23704994;24,10034843;22,484375;22,31319444;22,325;22,65520833;5;;;;;;;;;
24,10034843;22,484375;22,31319444;22,325;22,65520833;23,97314815;4;;;;;;;;;
22,484375;22,31319444;22,325;22,65520833;23,97314815;26,44918415;9;;;;;;;;;
22,31319444;22,325;22,65520833;23,97314815;26,44918415;27,49699074;5;;;;;;;;;
22,325;22,65520833;23,97314815;26,44918415;27,49699074;28,74189815;11;;;;;;;;;
22,65520833;23,97314815;26,44918415;27,49699074;28,74189815;27,98587963;5;;;;;;;;;
23,97314815;26,44918415;27,49699074;28,74189815;27,98587963;25,75590278;2;;;;;;;;;
26,44918415;27,49699074;28,74189815;27,98587963;25,75590278;24,55173611;3;;;;;;;;;
27,49699074;28,74189815;27,98587963;25,75590278;24,55173611;25,67326389;2;;;;;;;;;
28,74189815;27,98587963;25,75590278;24,55173611;25,67326389;27,909375;3;;;;;;;;;
27,98587963;25,75590278;24,55173611;25,67326389;27,909375;26,12361111;3;;;;;;;;;
25,75590278;24,55173611;25,67326389;27,909375;26,12361111;25,48654292;5;;;;;;;;;
24,55173611;25,67326389;27,909375;26,12361111;25,48654292;24,62094907;4;;;;;;;;;
25,67326389;27,909375;26,12361111;25,48654292;24,62094907;26,85497685;4;;;;;;;;;
27,909375;26,12361111;25,48654292;24,62094907;26,85497685;27,85509259;4;;;;;;;;;
26,12361111;25,48654292;24,62094907;26,85497685;27,85509259;23,71354167;2;;;;;;;;;
25,48654292;24,62094907;26,85497685;27,85509259;23,71354167;23,97555041;2;;;;;;;;;
