COUNT;Valore;Valore;Valore;Valore;Valore;Valore;;;;;;;;
4;55,90696379;74,55027778;64,62791667;62,4675;66,23295775;55,30877437;;;;;;;;
1;74,55027778;64,62791667;62,4675;66,23295775;55,30877437;51,28680556;;;;;;;;
5;64,62791667;62,4675;66,23295775;55,30877437;51,28680556;66,74061196;;;;;;;;
4;62,4675;66,23295775;55,30877437;51,28680556;66,74061196;57,27513889;;;;;;;;
0;66,23295775;55,30877437;51,28680556;66,74061196;57,27513889;49,37486111;;;;;;;;
3;55,30877437;51,28680556;66,74061196;57,27513889;49,37486111;47,77194444;;;;;;;;
4;51,28680556;66,74061196;57,27513889;49,37486111;47,77194444;59,31933241;;;;;;;;
5;66,74061196;57,27513889;49,37486111;47,77194444;59,31933241;60,32583333;;;;;;;;
1;57,27513889;49,37486111;47,77194444;59,31933241;60,32583333;58,06648122;;;;;;;;
4;49,37486111;47,77194444;59,31933241;60,32583333;58,06648122;43,97847222;;;;;;;;
7;47,77194444;59,31933241;60,32583333;58,06648122;43,97847222;45,37069444;;;;;;;;
2;59,31933241;60,32583333;58,06648122;43,97847222;45,37069444;47,02878999;;;;;;;;
2;60,32583333;58,06648122;43,97847222;45,37069444;47,02878999;45,43069444;;;;;;;;
2;58,06648122;43,97847222;45,37069444;47,02878999;45,43069444;45,69180556;;;;;;;;
3;43,97847222;45,37069444;47,02878999;45,43069444;45,69180556;44,29930556;;;;;;;;
4;45,37069444;47,02878999;45,43069444;45,69180556;44,29930556;54,10916667;;;;;;;;
6;47,02878999;45,43069444;45,69180556;44,29930556;54,10916667;54,71763889;;;;;;;;
5;45,43069444;45,69180556;44,29930556;54,10916667;54,71763889;63,3325;;;;;;;;
4;45,69180556;44,29930556;54,10916667;54,71763889;63,3325;51,62478632;;;;;;;;
2;44,29930556;54,10916667;54,71763889;63,3325;51,62478632;57,85097222;;;;;;;;
4;54,10916667;54,71763889;63,3325;51,62478632;57,85097222;74,75353535;;;;;;;;
2;54,71763889;63,3325;51,62478632;57,85097222;74,75353535;85,43791667;;;;;;;;
6;63,3325;51,62478632;57,85097222;74,75353535;85,43791667;74,90681502;;;;;;;;
3;51,62478632;57,85097222;74,75353535;85,43791667;74,90681502;83,38847222;;;;;;;;
5;57,85097222;74,75353535;85,43791667;74,90681502;83,38847222;64,82152778;;;;;;;;
3;74,75353535;85,43791667;74,90681502;83,38847222;64,82152778;56,58819444;;;;;;;;
2;85,43791667;74,90681502;83,38847222;64,82152778;56,58819444;54,35777778;;;;;;;;
4;74,90681502;83,38847222;64,82152778;56,58819444;54,35777778;52,70888889;;;;;;;;
1;83,38847222;64,82152778;56,58819444;54,35777778;52,70888889;51,94652778;;;;;;;;
6;64,82152778;56,58819444;54,35777778;52,70888889;51,94652778;54,32263889;;;;;;;;
6;56,58819444;54,35777778;52,70888889;51,94652778;54,32263889;53,02934631;;;;;;;;
4;54,35777778;52,70888889;51,94652778;54,32263889;53,02934631;50,61486111;;;;;;;;
2;52,70888889;51,94652778;54,32263889;53,02934631;50,61486111;43,82222222;;;;;;;;
2;51,94652778;54,32263889;53,02934631;50,61486111;43,82222222;46,51763889;;;;;;;;
3;54,32263889;53,02934631;50,61486111;43,82222222;46,51763889;46,69083333;;;;;;;;
2;53,02934631;50,61486111;43,82222222;46,51763889;46,69083333;47,69708333;;;;;;;;
4;50,61486111;43,82222222;46,51763889;46,69083333;47,69708333;47,06411683;;;;;;;;
1;43,82222222;46,51763889;46,69083333;47,69708333;47,06411683;45,29595537;;;;;;;;
3;46,51763889;46,69083333;47,69708333;47,06411683;45,29595537;44,56495132;;;;;;;;
2;46,69083333;47,69708333;47,06411683;45,29595537;44,56495132;42,91974965;;;;;;;;
3;47,69708333;47,06411683;45,29595537;44,56495132;42,91974965;44,36833333;;;;;;;;
4;47,06411683;45,29595537;44,56495132;42,91974965;44,36833333;47,68736111;;;;;;;;
9;45,29595537;44,56495132;42,91974965;44,36833333;47,68736111;49,18486111;;;;;;;;
5;44,56495132;42,91974965;44,36833333;47,68736111;49,18486111;48,46267409;;;;;;;;
0;42,91974965;44,36833333;47,68736111;49,18486111;48,46267409;49,55146036;;;;;;;;
2;44,36833333;47,68736111;49,18486111;48,46267409;49,55146036;54,78916667;;;;;;;;
