COUNT;DAY;MONTH;Valore;Valore;Valore;Valore;Valore;Valore;YEAR;;;;;;;
8;13;11;2,113513514;1,2375;1,205555556;1,24125;1,084375;1,189583333;2015;;;;;;;
3;14;11;1,2375;1,205555556;1,24125;1,084375;1,189583333;1,11875;2015;;;;;;;
6;15;11;1,205555556;1,24125;1,084375;1,189583333;1,11875;1,270833333;2015;;;;;;;
10;16;11;1,24125;1,084375;1,189583333;1,11875;1,270833333;1,1375;2015;;;;;;;
2;17;11;1,084375;1,189583333;1,11875;1,270833333;1,1375;0,865625;2015;;;;;;;
2;18;11;1,189583333;1,11875;1,270833333;1,1375;0,865625;1,09375;2015;;;;;;;
6;19;11;1,11875;1,270833333;1,1375;0,865625;1,09375;1,390625;2015;;;;;;;
8;20;11;1,270833333;1,1375;0,865625;1,09375;1,390625;1,205208333;2015;;;;;;;
3;21;11;1,1375;0,865625;1,09375;1,390625;1,205208333;1,485416667;2015;;;;;;;
6;22;11;0,865625;1,09375;1,390625;1,205208333;1,485416667;1,849473684;2015;;;;;;;
3;23;11;1,09375;1,390625;1,205208333;1,485416667;1,849473684;1,6;2015;;;;;;;
0;24;11;1,390625;1,205208333;1,485416667;1,849473684;1,6;1,614583333;2015;;;;;;;
3;25;11;1,205208333;1,485416667;1,849473684;1,6;1,614583333;1,825;2015;;;;;;;
3;26;11;1,485416667;1,849473684;1,6;1,614583333;1,825;1,678125;2015;;;;;;;
7;27;11;1,849473684;1,6;1,614583333;1,825;1,678125;1,805208333;2015;;;;;;;
8;28;11;1,6;1,614583333;1,825;1,678125;1,805208333;1,901041667;2015;;;;;;;
4;29;11;1,614583333;1,825;1,678125;1,805208333;1,901041667;1,907291667;2015;;;;;;;
5;30;11;1,825;1,678125;1,805208333;1,901041667;1,907291667;1,466666667;2015;;;;;;;
3;1;12;1,678125;1,805208333;1,901041667;1,907291667;1,466666667;1,422916667;2015;;;;;;;
9;2;12;1,805208333;1,901041667;1,907291667;1,466666667;1,422916667;1,523958333;2015;;;;;;;
3;3;12;1,901041667;1,907291667;1,466666667;1,422916667;1,523958333;1,845833333;2015;;;;;;;
3;4;12;1,907291667;1,466666667;1,422916667;1,523958333;1,845833333;1,664583333;2015;;;;;;;
4;5;12;1,466666667;1,422916667;1,523958333;1,845833333;1,664583333;1,815625;2015;;;;;;;
5;6;12;1,422916667;1,523958333;1,845833333;1,664583333;1,815625;1,83125;2015;;;;;;;
6;7;12;1,523958333;1,845833333;1,664583333;1,815625;1,83125;1,957894737;2015;;;;;;;
3;8;12;1,845833333;1,664583333;1,815625;1,83125;1,957894737;1,925;2015;;;;;;;
10;9;12;1,664583333;1,815625;1,83125;1,957894737;1,925;1,951041667;2015;;;;;;;
1;10;12;1,815625;1,83125;1,957894737;1,925;1,951041667;2,175;2015;;;;;;;
3;11;12;1,83125;1,957894737;1,925;1,951041667;2,175;2,220833333;2015;;;;;;;
1;12;12;1,957894737;1,925;1,951041667;2,175;2,220833333;2,421875;2015;;;;;;;
2;13;12;1,925;1,951041667;2,175;2,220833333;2,421875;2,614583333;2015;;;;;;;
3;14;12;1,951041667;2,175;2,220833333;2,421875;2,614583333;2,441666667;2015;;;;;;;
3;15;12;2,175;2,220833333;2,421875;2,614583333;2,441666667;2,4;2015;;;;;;;
7;16;12;2,220833333;2,421875;2,614583333;2,441666667;2,4;2,36875;2015;;;;;;;
5;17;12;2,421875;2,614583333;2,441666667;2,4;2,36875;2,171875;2015;;;;;;;
4;18;12;2,614583333;2,441666667;2,4;2,36875;2,171875;2,247916667;2015;;;;;;;
3;19;12;2,441666667;2,4;2,36875;2,171875;2,247916667;1,7625;2015;;;;;;;
3;20;12;2,4;2,36875;2,171875;2,247916667;1,7625;1,708333333;2015;;;;;;;
6;21;12;2,36875;2,171875;2,247916667;1,7625;1,708333333;1,953125;2015;;;;;;;
2;22;12;2,171875;2,247916667;1,7625;1,708333333;1,953125;1,923958333;2015;;;;;;;
5;23;12;2,247916667;1,7625;1,708333333;1,953125;1,923958333;1,932291667;2015;;;;;;;
2;24;12;1,7625;1,708333333;1,953125;1,923958333;1,932291667;2,43125;2015;;;;;;;
6;25;12;1,708333333;1,953125;1,923958333;1,932291667;2,43125;2,304166667;2015;;;;;;;
4;26;12;1,953125;1,923958333;1,932291667;2,43125;2,304166667;1,541666667;2015;;;;;;;
3;27;12;1,923958333;1,932291667;2,43125;2,304166667;1,541666667;1,616666667;2015;;;;;;;
8;28;12;1,932291667;2,43125;2,304166667;1,541666667;1,616666667;1,4625;2015;;;;;;;
8;29;12;2,43125;2,304166667;1,541666667;1,616666667;1,4625;1,453125;2015;;;;;;;
5;30;12;2,304166667;1,541666667;1,616666667;1,4625;1,453125;1,503125;2015;;;;;;;
6;31;12;1,541666667;1,616666667;1,4625;1,453125;1,503125;1,696875;2015;;;;;;;
3;1;1;1,616666667;1,4625;1,453125;1,503125;1,696875;1,715625;2016;;;;;;;
5;2;1;1,4625;1,453125;1,503125;1,696875;1,715625;2,026041667;2016;;;;;;;
3;3;1;1,453125;1,503125;1,696875;1,715625;2,026041667;1,988541667;2016;;;;;;;
1;4;1;1,503125;1,696875;1,715625;2,026041667;1,988541667;2,057291667;2016;;;;;;;
6;5;1;1,696875;1,715625;2,026041667;1,988541667;2,057291667;2,133333333;2016;;;;;;;
4;6;1;1,715625;2,026041667;1,988541667;2,057291667;2,133333333;1,976041667;2016;;;;;;;
4;7;1;2,026041667;1,988541667;2,057291667;2,133333333;1,976041667;1,865625;2016;;;;;;;
3;8;1;1,988541667;2,057291667;2,133333333;1,976041667;1,865625;1,017808219;2016;;;;;;;
4;9;1;2,057291667;2,133333333;1,976041667;1,865625;1,017808219;1,097701149;2016;;;;;;;
7;10;1;2,133333333;1,976041667;1,865625;1,017808219;1,097701149;0,890697674;2016;;;;;;;
3;11;1;1,976041667;1,865625;1,017808219;1,097701149;0,890697674;1,006944444;2016;;;;;;;
3;12;1;1,865625;1,017808219;1,097701149;0,890697674;1,006944444;0,688888889;2016;;;;;;;
8;13;1;1,017808219;1,097701149;0,890697674;1,006944444;0,688888889;1,086111111;2016;;;;;;;
2;14;1;1,097701149;0,890697674;1,006944444;0,688888889;1,086111111;1,440277778;2016;;;;;;;
2;15;1;0,890697674;1,006944444;0,688888889;1,086111111;1,440277778;1,468292683;2016;;;;;;;
5;16;1;1,006944444;0,688888889;1,086111111;1,440277778;1,468292683;1,701041667;2016;;;;;;;
4;17;1;0,688888889;1,086111111;1,440277778;1,468292683;1,701041667;1,801041667;2016;;;;;;;
3;18;1;1,086111111;1,440277778;1,468292683;1,701041667;1,801041667;1,798958333;2016;;;;;;;
1;19;1;1,440277778;1,468292683;1,701041667;1,801041667;1,798958333;1,751578947;2016;;;;;;;
9;20;1;1,468292683;1,701041667;1,801041667;1,798958333;1,751578947;2,008333333;2016;;;;;;;
2;21;1;1,701041667;1,801041667;1,798958333;1,751578947;2,008333333;2,003125;2016;;;;;;;
1;22;1;1,801041667;1,798958333;1,751578947;2,008333333;2,003125;1,990625;2016;;;;;;;
5;23;1;1,798958333;1,751578947;2,008333333;2,003125;1,990625;1,551041667;2016;;;;;;;
7;24;1;1,751578947;2,008333333;2,003125;1,990625;1,551041667;1,730208333;2016;;;;;;;
9;25;1;2,008333333;2,003125;1,990625;1,551041667;1,730208333;1,727083333;2016;;;;;;;
14;26;1;2,003125;1,990625;1,551041667;1,730208333;1,727083333;1,521875;2016;;;;;;;
14;27;1;1,990625;1,551041667;1,730208333;1,727083333;1,521875;1,534375;2016;;;;;;;
6;28;1;1,551041667;1,730208333;1,727083333;1,521875;1,534375;1,38;2016;;;;;;;
12;29;1;1,730208333;1,727083333;1,521875;1,534375;1,38;1,144791667;2016;;;;;;;
11;30;1;1,727083333;1,521875;1,534375;1,38;1,144791667;0,872916667;2016;;;;;;;
